area,geom
184933.89022908075,"POLYGON((127.060790052927 37.4907097196997, 127.061829565917 37.4903730353304, 127.064411004916 37.4917970936208, 127.062428371041 37.4964928054299, 127.059617763052 37.4952057045751, 127.059239923278 37.4949071027228, 127.060790052927 37.4907097196997))"
152535.70713682269,"POLYGON((126.834716360226 37.4998361464433, 126.834963129411 37.4997031077128, 126.840193114787 37.5036749362296, 126.840327510325 37.5054736000429, 126.840167022279 37.5054277634482, 126.84013000201 37.5053874473257, 126.840117130843 37.5053772935255, 126.840062910103 37.5051944882388, 126.839990975731 37.5049553463896, 126.839951193924 37.5048846177825, 126.839589594953 37.5044958470214, 126.839319684757 37.5044473184552, 126.838795524576 37.5045451577038, 126.838489717341 37.504424227726, 126.83842041796 37.5043593593917, 126.838405961111 37.5043452748672, 126.838356348159 37.5042404654424, 126.838284575819 37.5040908548313, 126.838211287892 37.5039102748056, 126.838151064478 37.5038119287892, 126.837978993478 37.5036295180926, 126.837869830465 37.5035280047404, 126.837494517347 37.5032797100085, 126.836918171505 37.5033203002116, 126.836504573549 37.5031265674365, 126.836399528993 37.50308193843, 126.836393879309 37.5030796780402, 126.835246811251 37.5028694252494, 126.834672675228 37.5031121733769, 126.834508154291 37.5031952831545, 126.834303777002 37.5032589288147, 126.834147237279 37.5033076763401, 126.834052151395 37.5033518256018, 126.833993689198 37.5033789708495, 126.833969786843 37.5034017502013, 126.833939329452 37.5034326742745, 126.833896470016 37.5034919981943, 126.833837762116 37.5035733109649, 126.833764782834 37.5036742992384, 126.833622737469 37.5038709022529, 126.83360586408 37.5038808703293, 126.833590893188 37.5038897148613, 126.833571466072 37.5039037427997, 126.833561339011 37.5039110715287, 126.833084615805 37.504045263058, 126.833072755946 37.504053652451, 126.833050463456 37.5040694331618, 126.833030837157 37.5040814424932, 126.833012411272 37.5040927327359, 126.832994715389 37.5041364869414, 126.832963019653 37.5042148735166, 126.83293238565 37.5042435355705, 126.832913069979 37.50426323083, 126.832252101678 37.5045530365972, 126.834716360226 37.4998361464433))"
307069.05169765925,"POLYGON((126.832252107778 37.5045530249218, 126.832913069999 37.5042632218201, 126.83293238565 37.5042435355705, 126.832963019673 37.5042148645066, 126.832994715389 37.5041364869414, 126.833012411272 37.5040927327359, 126.833030837157 37.5040814424932, 126.833050463476 37.5040694241519, 126.833072755946 37.504053652451, 126.833084615825 37.5040452540481, 126.833561339011 37.5039110715287, 126.833571466072 37.5039037427997, 126.833590893188 37.5038897148613, 126.83360586408 37.5038808703293, 126.833622737489 37.5038708932429, 126.833764782834 37.5036742992384, 126.833837762137 37.503573301955, 126.833896470016 37.5034919981943, 126.833939329472 37.5034326652645, 126.833969786863 37.5034017411913, 126.833993689198 37.5033789708495, 126.834052151395 37.5033518256018, 126.834147237299 37.5033076673301, 126.834303777022 37.5032589198048, 126.834508154311 37.5031952741445, 126.834672675248 37.5031121643669, 126.835246811251 37.5028694252494, 126.836393879329 37.5030796690303, 126.836399529012 37.50308192942, 126.836504573569 37.5031265584265, 126.836918171525 37.5033202912017, 126.837494517367 37.5032797009985, 126.837869830485 37.5035279957304, 126.837978993498 37.5036295090826, 126.838151064498 37.5038119197792, 126.838211287912 37.5039102657957, 126.838284575839 37.5040908458213, 126.838356348179 37.5042404564324, 126.838405961131 37.5043452658573, 126.83842041796 37.5043593593917, 126.838489717361 37.5044242187161, 126.838795524595 37.5045451486939, 126.839319684757 37.5044473184552, 126.839589594973 37.5044958380114, 126.839951193943 37.5048846087725, 126.839990975751 37.5049553373796, 126.840062910122 37.5051944792289, 126.840117130862 37.5053772845156, 126.840130002029 37.5053874383157, 126.840167022298 37.5054277544383, 126.840327509637 37.5054735908309, 126.840338433664 37.5056197872027, 126.839785215999 37.5067349759773, 126.833715334171 37.5082175620559, 126.831145712584 37.5066705891947, 126.832252107778 37.5045530249218))"
115611.66649094122,"POLYGON((127.063575687725 37.6504458351991, 127.066357273557 37.6477569688954, 127.067005623401 37.6477586886562, 127.067514090294 37.6495559429204, 127.066205905787 37.6524526371864, 127.065621878508 37.6526578066209, 127.064126848068 37.6520048387806, 127.063511823481 37.6510161577475, 127.063575687725 37.6504458351991))"
38362.593913852339,"POLYGON((126.974358259264 37.5331967981646, 126.975352225488 37.5370235681294, 126.972740609475 37.5348417117134, 126.974358259264 37.5331967981646))"
195340.70173309479,"POLYGON((126.873583870102 37.5030861362169, 126.874171786884 37.5028810743335, 126.87794166339 37.5034566279984, 126.878712837172 37.5050138058274, 126.876343685695 37.5089512688442, 126.874673636361 37.5083486375175, 126.874705577997 37.5083330853287, 126.874754590377 37.5083029995867, 126.874800603817 37.5082605489302, 126.874843842419 37.5081935791546, 126.874887089601 37.508114788292, 126.874902753166 37.5080483565592, 126.874938568947 37.5079765854866, 126.875006143179 37.5078378592946, 126.875016112608 37.5077945139973, 126.875030879186 37.5077300454565, 126.875035518932 37.5077083724372, 126.875027659771 37.5076472674174, 126.875023797544 37.5076371270659, 126.875012517957 37.5076190950478, 126.87499770405 37.5075976805047, 126.874989948367 37.5075892118364, 126.874856325559 37.5074992662721, 126.874847851649 37.507494184573, 126.874836185467 37.5074907933244, 126.87475844928 37.5074856463343, 126.87472575645 37.5074830704381, 126.874664462845 37.507465831633, 126.874650152521 37.5074610319714, 126.87461289313 37.5074435216194, 126.874476933633 37.5073780532029, 126.874447801843 37.5073631103703, 126.874396427522 37.5073323671399, 126.874381074492 37.5073222144012, 126.874303057503 37.5072627186686, 126.87422049405 37.5071832338704, 126.874213089089 37.5071747745385, 126.874228843339 37.5071550867093, 126.874245223356 37.5069799685489, 126.874273089811 37.5069073601832, 126.874342545303 37.5067998739417, 126.874424687271 37.5067208457856, 126.874478978957 37.5066916217758, 126.874582741044 37.5066751189269, 126.874712467036 37.5066673745214, 126.87470528172 37.5066293537395, 126.874686533625 37.5065335936566, 126.874684596885 37.5065285369832, 126.874677727782 37.5065175464528, 126.8746514714 37.5064744415847, 126.874631033757 37.5064414791785, 126.874591197136 37.5063766727074, 126.874551555246 37.506310451866, 126.874501151992 37.5062276320823, 126.874428904369 37.5061078929422, 126.874418151947 37.5060926725414, 126.87440197016 37.5060444968293, 126.874385271445 37.5059943744043, 126.874328300609 37.5058231236049, 126.874303511417 37.5057487646393, 126.874276787037 37.5056684930411, 126.874265014125 37.5056282147917, 126.874171364072 37.5053119178821, 126.874131514864 37.5052617614475, 126.874056378381 37.5051724095867, 126.873851207295 37.5049748245686, 126.873755113588 37.5048463285556, 126.873705606382 37.5047564455626, 126.873693339576 37.5047009758995, 126.873688801198 37.5045635688807, 126.873700311858 37.5044455957192, 126.873734297908 37.5043057075783, 126.873757921388 37.5042339236288, 126.873756900516 37.5042091450936, 126.873666184872 37.503938477399, 126.873580414677 37.5035602448767, 126.873568582875 37.503554889147, 126.873550562715 37.5035574014321, 126.873525431356 37.5035708613173, 126.873583870102 37.5030861362169))"
42768.559978871759,"POLYGON((126.873525432517 37.503570851694, 126.87355056273 37.5035573924222, 126.87356858289 37.5035548801371, 126.873580414677 37.5035602448767, 126.873666184888 37.503938468389, 126.873756900516 37.5042091450936, 126.873757921388 37.5042339236288, 126.873734297924 37.5043056985683, 126.873700311858 37.5044455957192, 126.873688801213 37.5045635598708, 126.873693339592 37.5047009668896, 126.873705606382 37.5047564455626, 126.873755113604 37.5048463195456, 126.87385120731 37.5049748155586, 126.874056378381 37.5051724095867, 126.87413151488 37.5052617524375, 126.874171364087 37.5053119088722, 126.87426501414 37.5056282057818, 126.874276787052 37.5056684840311, 126.874303511432 37.5057487556293, 126.874328300624 37.5058231145949, 126.874385271461 37.5059943653943, 126.87440197016 37.5060444968293, 126.874418151962 37.5060926635314, 126.874428904384 37.5061078839323, 126.874501152007 37.5062276230723, 126.874551555246 37.506310451866, 126.874591197151 37.5063766636975, 126.874631033773 37.5064414701685, 126.874651471416 37.5064744325747, 126.874677727797 37.5065175374429, 126.8746845969 37.5065285279733, 126.874686533625 37.5065335936566, 126.87470528172 37.5066293537395, 126.874712467051 37.5066673655114, 126.874582741059 37.5066751099169, 126.874478978972 37.5066916127659, 126.874424687286 37.5067208367756, 126.874342545319 37.5067998649318, 126.874273089826 37.5069073511733, 126.874245223371 37.506979959539, 126.874228843354 37.5071550776994, 126.874213089104 37.5071747655285, 126.874220494065 37.5071832248604, 126.874303057519 37.5072627096586, 126.874381074507 37.5073222053913, 126.874396427538 37.50733235813, 126.874447801858 37.5073631013604, 126.874476933633 37.5073780532029, 126.87461289313 37.5074435216194, 126.874650152536 37.5074610229615, 126.87466446286 37.5074658226231, 126.87472575645 37.5074830704381, 126.874758449295 37.5074856373243, 126.874836185482 37.5074907843145, 126.874847851664 37.507494175563, 126.874856325574 37.5074992572621, 126.874989948367 37.5075892118364, 126.874997704065 37.5075976714947, 126.875012517972 37.5076190860378, 126.87502379756 37.5076371180559, 126.875027659786 37.5076472584075, 126.875035518948 37.5077083634273, 126.875030879186 37.5077300454565, 126.875016112623 37.5077945049873, 126.875006143195 37.5078378502846, 126.874938568947 37.5079765854866, 126.874902753181 37.5080483475492, 126.874887089616 37.5081147792821, 126.874843842434 37.5081935701446, 126.874800603832 37.5082605399203, 126.874754590377 37.5083029995867, 126.874705578012 37.5083330763187, 126.874673625742 37.5083486336854, 126.873021276162 37.5077523565357, 126.873525432517 37.503570851694))"
97032.267736155132,"POLYGON((127.020657726145 37.5355850162099, 127.020579273491 37.5355492424486, 127.02037162211 37.5354545543553, 127.020261770946 37.5354038098779, 127.019446220089 37.5350270149432, 127.018688091852 37.5346793171151, 127.018056746133 37.5343897648517, 127.017926881662 37.5343304525459, 127.017747343834 37.5342484599172, 127.017439683389 37.5339928448857, 127.017361127773 37.5339275063887, 127.01718312773 37.5337794608524, 127.016837642738 37.5334948462588, 127.016444634423 37.5331718903664, 127.016293954413 37.5330480767445, 127.016007973565 37.5328117995512, 127.015903847093 37.5327257671209, 127.016690001431 37.5320013558246, 127.020612409689 37.532915072893, 127.02125885997 37.5332508965853, 127.020657726145 37.5355850162099))"
341196.06913056446,"POLYGON((127.013737672786 37.5390052998991, 127.013859818288 37.5390608010583, 127.013873782057 37.5390689625926, 127.013985679406 37.5389667422138, 127.014027555027 37.5388296156945, 127.014093324724 37.5388127150947, 127.014786168138 37.5387974395388, 127.014796948427 37.5387825178864, 127.01481038522 37.5387537927245, 127.014861291025 37.5386952224515, 127.014916613817 37.538660870342, 127.014999868255 37.5385397854515, 127.015017529058 37.5384691185657, 127.01502353319 37.5384471516736, 127.015011841582 37.5383018679116, 127.015031987387 37.5382708894731, 127.01507070825 37.5382827150724, 127.015098473581 37.5382782069185, 127.015147270492 37.5383229716328, 127.015219402498 37.5383288737995, 127.015229121942 37.5383297196048, 127.015294892016 37.5383187288476, 127.015333781054 37.5383218237201, 127.015449401791 37.5383018171059, 127.015483873228 37.5382787205871, 127.015479440539 37.5382322659185, 127.015509491753 37.5382297305721, 127.015513385148 37.5382359289418, 127.015515163125 37.5382443710344, 127.015616813293 37.5382412595275, 127.015623353369 37.5382423849876, 127.015642974925 37.53825280713, 127.015673561495 37.5382691294587, 127.015799785476 37.5381981610726, 127.015843793431 37.5381669002992, 127.016342666502 37.5379936859144, 127.016403659003 37.5379708651018, 127.016449434319 37.537896248099, 127.016759331779 37.537851158865, 127.017292689309 37.5377407171921, 127.017530627057 37.5376522707314, 127.017439683389 37.5339928448857, 127.017747343834 37.5342484599172, 127.017926881662 37.5343304525459, 127.018056746133 37.5343897648517, 127.018688091852 37.5346793171151, 127.019446220089 37.5350270149432, 127.020261770946 37.5354038098779, 127.02037162211 37.5354545543553, 127.020579262177 37.5355492424504, 127.020657725112 37.5355850202182, 127.018191467173 37.5451595980348, 127.017378898083 37.5448883287809, 127.013737672786 37.5390052998991))"
198770.40317684316,"POLYGON((127.013765271202 37.5346962858211, 127.015903715784 37.5327258881157, 127.016007695812 37.5328117995494, 127.01629367666 37.5330480767428, 127.016444356671 37.5331718903646, 127.016837364985 37.533494846257, 127.017182849978 37.5337794608507, 127.017360850021 37.533927506387, 127.017439405636 37.533992844884, 127.017530349304 37.5376522707297, 127.017292411556 37.5377407171904, 127.016759054026 37.5378511588633, 127.016449156567 37.5378962480973, 127.01640338125 37.5379708651, 127.016342388749 37.5379936859127, 127.015843515678 37.5381669002974, 127.015799507723 37.5381981610708, 127.015673283742 37.538269129457, 127.015642697173 37.5382528071283, 127.015623075616 37.5382423849859, 127.015616535541 37.5382412595257, 127.015514885372 37.5382443710326, 127.015513107395 37.5382359289401, 127.015509214 37.5382297305704, 127.015479162787 37.5382322659168, 127.015483595475 37.5382787205854, 127.015449124038 37.5383018171041, 127.015333503301 37.5383218237184, 127.015294614263 37.5383187288459, 127.015228844189 37.5383297196031, 127.015219124745 37.5383288737978, 127.015146992739 37.5383229716311, 127.015098195828 37.5382782069167, 127.015070430497 37.5382827150707, 127.015031709634 37.5382708894714, 127.01501156383 37.5383018679099, 127.015023255437 37.5384471516719, 127.015017251305 37.5384691185639, 127.014999590502 37.5385397854497, 127.014916336064 37.5386608703402, 127.014861013272 37.5386952224498, 127.014810107468 37.5387537927227, 127.014796670674 37.5387825178847, 127.014785890385 37.5387974395371, 127.014093046971 37.538812715093, 127.014027277274 37.5388296156928, 127.013985401653 37.5389667422121, 127.013873504304 37.5390689625908, 127.013859540536 37.5390608010566, 127.01373778145 37.5390054754798, 127.012522626817 37.537041951626, 127.013765271202 37.5346962858211))"
